B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
47,47,48,73,55,207,40,694,NV,4682,55274,3826
33,27,25,30,24,194,19,695,VA,358,15687,3829
45,45,47,67,53,204,39,696,KS,909,11003,3830
38,35,35,49,49,205,37,697,KS,1037,125872,3833
32,29,26,53,39,203,25,698,KS,1083,173372,3834
36,32,31,39,37,199,28,699,VA,328,12332,3835
36,29,28,34,28,195,19,700,VA,36,139966,3837
32,29,27,58,41,202,26,701,VA,203,14273,3838
35,30,28,36,29,199,22,702,VA,308,37821,3839
41,39,39,55,51,204,39,703,KS,902,12649,3840
30,27,28,52,59,201,43,704,VA,1325,48914,3844
33,27,26,36,32,197,24,705,VA,59,24286,3845
41,40,43,47,51,205,43,706,KS,1447,19132,3846
36,34,33,43,41,204,31,707,VA,1293,21006,3848
44,40,41,64,52,204,34,708,VA,630,75568,3855
35,29,28,29,29,193,25,709,VA,935,97032,3858
36,32,30,51,39,202,27,710,VA,49,22591,3859
29,26,23,63,48,195,26,711,VA,95,17411,3860
38,36,39,46,41,202,34,712,VA,72,32420,3861
44,41,39,48,48,204,38,713,VA,20,180719,3862
35,31,28,61,47,204,27,714,VA,3,12150,3863
30,25,24,46,38,190,23,715,VA,1860,16408,3864
36,34,31,54,45,204,31,716,VA,7,137436,3866
39,35,33,40,38,202,29,717,VA,10,242803,3869
40,37,35,46,42,203,31,718,VA,10,437994,3871
36,33,33,42,45,201,34,719,VA,10,95535,3872
35,32,33,38,41,202,34,720,VA,49,84585,3873
31,26,23,53,35,199,22,721,VA,10,222209,3874
39,37,35,53,41,204,32,722,VA,505,43055,3878
37,34,33,39,37,202,30,723,VA,1680,17835,3879
37,34,36,43,42,203,34,724,MI,666,21355,3923
39,36,37,44,45,203,36,725,MI,607,12616,3925
37,34,35,41,40,202,32,726,WI,594,10968,3930
29,25,22,53,37,198,22,727,MI,617,14144,3938
39,34,33,42,40,200,32,728,MI,597,14674,3946
47,47,50,57,54,202,41,729,MI,591,10483,3947
42,41,43,53,53,204,42,730,MI,607,30184,3953
36,32,29,66,47,201,29,731,MI,600,12486,3961
34,30,28,55,36,202,22,732,MI,659,23989,3963
39,36,35,46,42,203,31,733,MI,591,30047,3964
43,43,44,55,57,203,45,734,MI,614,63131,3965
39,36,35,48,45,204,34,735,MI,597,18853,3966
39,37,36,46,46,207,37,736,MI,594,28210,3967
36,30,29,32,29,193,23,737,MI,591,98153,3969
35,32,31,49,44,203,30,738,MI,620,57774,3970
33,25,21,19,13,188,10,739,MI,597,713777,3971
37,33,33,42,40,203,33,740,MI,633,27692,3974
33,30,25,56,41,204,27,741,MI,581,11555,3978
38,34,33,48,39,203,28,742,MI,587,16135,3979
39,36,35,46,45,205,34,743,MI,630,22423,3980
33,29,26,53,41,200,24,744,MI,587,14236,3981
38,35,35,46,44,205,33,745,MI,636,11776,3982
37,34,33,44,45,203,34,746,MI,627,25369,3983
35,31,29,48,38,205,25,747,MI,587,38144,3984
38,34,34,46,43,202,33,748,MI,640,96942,3985
35,29,27,42,33,203,22,749,MI,591,10715,3986
37,31,30,33,32,201,25,750,MI,594,20733,3987
35,33,30,42,38,201,26,751,MN,853,30104,4022
34,30,30,37,31,201,25,752,MN,869,75781,4023
31,27,23,56,36,200,23,753,NY,230,10936,4058
28,22,19,35,26,200,18,754,NY,446,36609,4277
32,27,24,57,36,200,21,755,NY,430,14519,4278
29,24,20,64,38,199,20,756,NY,381,51692,4279
47,46,48,56,63,207,53,757,MI,630,25867,4304
30,26,23,68,47,200,26,758,MI,745,14541,4305
31,28,24,61,43,200,27,759,MI,659,10088,4307
36,32,32,46,40,202,30,760,MI,676,14370,4308
34,31,30,54,44,202,29,761,MI,801,10232,4343
40,39,40,47,45,204,37,762,MI,604,16538,4344
29,26,23,64,46,200,27,763,MI,653,17579,4345
39,36,35,46,43,202,33,764,NY,650,75178,4375
37,33,32,42,40,206,31,765,NY,574,58144,4381
35,30,28,46,36,204,25,766,NY,597,44711,4383
36,32,30,45,38,205,27,767,NY,614,15423,4386
40,36,35,45,38,202,30,768,NY,669,10352,4387
27,22,17,55,30,194,15,769,NY,673,15303,4397
37,32,31,40,32,200,25,770,NY,338,20652,4446
35,30,28,40,31,203,22,771,MA,26,26628,4465
29,23,19,46,27,191,16,772,MA,23,13787,4466
